request_id,department_id,request_date,fiscal_year,loggedTime
12767,4,11/16/2012,2012,4.7
12768,4,11/16/2012,2012,10.5
12769,6,11/17/2012,2012,14
12770,6,11/18/2012,2012,13.6
12771,4,11/19/2012,2012,9.8
12772,2,11/20/2012,2012,10.2
12773,2,11/21/2012,2012,18.1
12774,5,11/22/2012,2012,1.3
12775,1,11/22/2012,2012,14.3
12776,2,11/23/2012,2012,11.4
12777,4,11/24/2012,2012,45.1
12778,4,11/24/2012,2012,38.8
12779,4,11/24/2012,2012,10.5
12780,1,11/25/2012,2012,1.4
12781,2,11/25/2012,2012,60.5
12782,1,11/26/2012,2012,7.1
12783,2,11/27/2012,2012,22.3
12784,2,11/28/2012,2012,12.4
12785,1,11/28/2012,2012,7.2
12786,6,11/29/2012,2012,10.8
12787,4,11/29/2012,2012,2
12788,2,11/30/2012,2012,7
12789,1,11/30/2012,2012,12.5
12790,5,12/1/2012,2012,10.5
12791,2,12/2/2012,2012,3.9
12792,2,12/2/2012,2012,16.5
12793,1,12/2/2012,2012,20.3
12794,2,12/3/2012,2012,29.4
12795,2,12/4/2012,2012,25.6
12796,6,12/4/2012,2012,10.5
12797,3,12/5/2012,2012,11.2
12798,4,12/5/2012,2012,10.5
12799,2,12/6/2012,2012,10.9
12800,3,12/6/2012,2012,10.1
12801,4,12/7/2012,2012,9.6
12802,4,12/7/2012,2012,14.4
12803,2,12/8/2012,2012,4.9
12804,4,12/8/2012,2012,16.1
12805,5,12/9/2012,2012,14.3
12806,3,12/9/2012,2012,6.7
12807,2,12/10/2012,2012,10.5
12808,4,12/10/2012,2012,14.4
12809,2,12/11/2012,2012,9.5
12810,1,12/12/2012,2012,1.3
12811,2,12/12/2012,2012,21.1
12812,5,12/13/2012,2012,8.7
12813,6,12/13/2012,2012,5.8
12814,1,12/14/2012,2012,4.8
12815,2,12/14/2012,2012,8.8
12816,1,12/14/2012,2012,10.8
12817,5,12/15/2012,2012,6.9
12818,1,12/15/2012,2012,3.7
12819,4,12/16/2012,2012,14.9
12820,2,12/16/2012,2012,10.5
12821,5,12/17/2012,2012,30.4
12822,1,12/17/2012,2012,2.9
12823,5,12/18/2012,2012,5.1
12824,2,12/18/2012,2012,6.6
12825,2,12/18/2012,2012,18.1
12826,3,12/19/2012,2012,18.5
12827,5,12/19/2012,2012,6.3
12828,2,12/20/2012,2012,10.6
12829,6,12/20/2012,2012,10.4
12830,6,12/21/2012,2012,18.7
12831,3,12/22/2012,2012,9.1
12832,4,12/22/2012,2012,20.8
12833,6,12/22/2012,2012,10.5
12834,4,12/23/2012,2012,10.4
12835,4,12/23/2012,2012,5.8
12836,1,12/24/2012,2012,11.3
12837,1,12/24/2012,2012,34.4
12838,3,12/25/2012,2012,1.7
12839,4,12/25/2012,2012,10.5
12840,6,12/26/2012,2012,14.9
12841,2,12/27/2012,2012,9.8
12842,2,12/27/2012,2012,34
12843,1,12/28/2012,2012,10.5
12844,2,12/28/2012,2012,22
12845,2,12/28/2012,2012,32.3
12846,2,12/29/2012,2012,14.8
12847,4,12/29/2012,2012,10.5
12848,6,12/30/2012,2012,10.5
12849,2,12/30/2012,2012,12.5
12850,1,12/31/2012,2012,8.4
12851,2,1/1/2013,2013,8.7
12852,4,1/2/2013,2013,3.8
12853,4,1/3/2013,2013,8.2
12854,2,1/4/2013,2013,7.5
12855,3,1/5/2013,2013,10.3
12856,4,1/5/2013,2013,6
12857,4,1/7/2013,2013,10.3
12858,1,1/8/2013,2013,28.5
12859,3,1/8/2013,2013,4.6
12860,4,1/9/2013,2013,8.2
12861,2,1/11/2013,2013,8.2
12862,2,1/12/2013,2013,6.2
12863,4,1/13/2013,2013,11.8
12864,1,1/15/2013,2013,8.2
12865,6,1/16/2013,2013,12
12866,2,1/18/2013,2013,2.2
12867,4,1/18/2013,2013,11.7
12868,4,1/19/2013,2013,2.9
12869,2,1/20/2013,2013,14.7
12870,6,1/20/2013,2013,1.3
12871,2,1/21/2013,2013,4.9
12872,4,1/21/2013,2013,7.8
12873,2,1/22/2013,2013,9.1
12874,2,1/23/2013,2013,7.6
12875,2,1/23/2013,2013,8.7
12876,4,1/25/2013,2013,4.5
12877,4,1/25/2013,2013,8.2
12878,2,1/26/2013,2013,8.2
12879,1,1/27/2013,2013,7.7
12880,2,1/28/2013,2013,8.2
12881,2,1/28/2013,2013,5.1
12882,4,1/29/2013,2013,6.7
12883,2,1/30/2013,2013,8.2
12884,2,1/31/2013,2013,9.4
12885,6,2/1/2013,2013,8.2
12886,1,2/1/2013,2013,3.7
12887,1,2/3/2013,2013,12
12888,4,2/4/2013,2013,8.2
12889,2,2/4/2013,2013,9.8
12890,2,2/4/2013,2013,8
12891,1,2/5/2013,2013,7.6
12892,4,2/5/2013,2013,9.2
12893,4,2/6/2013,2013,8.3
12894,1,2/7/2013,2013,8.2
12895,2,2/7/2013,2013,7.8
12896,2,2/8/2013,2013,22.5
12897,4,2/9/2013,2013,13.3
12898,2,2/9/2013,2013,2.8
12899,6,2/10/2013,2013,8.2
12900,4,2/11/2013,2013,7.7
12901,1,2/11/2013,2013,20.1
12902,5,2/12/2013,2013,8.4
12903,4,2/13/2013,2013,24.1
12904,2,2/13/2013,2013,8.2
12905,2,2/14/2013,2013,8.2
12906,4,2/15/2013,2013,8.5
12907,4,2/16/2013,2013,1.1
12908,2,2/16/2013,2013,7.3
12909,1,2/17/2013,2013,3.9
12910,3,2/17/2013,2013,4.5
12911,3,2/18/2013,2013,4.9
12912,4,2/18/2013,2013,7.1
12913,1,2/19/2013,2013,6.8
12914,2,2/19/2013,2013,9.2
12915,4,2/20/2013,2013,8.6
12916,4,2/20/2013,2013,4.7
12917,4,2/21/2013,2013,14.5
12918,5,2/22/2013,2013,9.7
12919,2,2/22/2013,2013,3.5
12920,4,2/23/2013,2013,6.4
12921,2,2/23/2013,2013,8.2
12922,2,2/24/2013,2013,7.2
12923,1,2/24/2013,2013,8.1
12924,5,2/25/2013,2013,10.1
12925,1,2/25/2013,2013,2.3
12926,1,2/26/2013,2013,5
12927,1,2/26/2013,2013,11.4
12928,2,2/27/2013,2013,8.2
12929,4,2/28/2013,2013,2.3
12930,4,2/28/2013,2013,10
12931,2,2/28/2013,2013,17.9
12932,4,3/1/2013,2013,8.2
12933,2,3/1/2013,2013,2.3
12934,4,3/2/2013,2013,5.8
12935,4,3/3/2013,2013,10.8
12936,6,3/3/2013,2013,5.5
12937,6,3/4/2013,2013,2
12938,1,3/4/2013,2013,2.8
12939,2,3/4/2013,2013,8.3
12940,2,3/5/2013,2013,3.4
12941,4,3/6/2013,2013,8
12942,4,3/6/2013,2013,11.9
12943,2,3/7/2013,2013,5.4
12944,4,3/7/2013,2013,3.1
12945,3,3/8/2013,2013,5.5
12946,2,3/8/2013,2013,11.4
12947,2,3/9/2013,2013,9.1
12948,2,3/9/2013,2013,20.3
12949,1,3/9/2013,2013,7.8
12950,4,3/10/2013,2013,24.4
12951,4,3/10/2013,2013,7.1
12952,2,3/10/2013,2013,6
12953,4,3/11/2013,2013,20.9
12954,4,3/11/2013,2013,9.8
12955,4,3/12/2013,2013,9.6
12956,4,3/12/2013,2013,5.5
12957,3,3/12/2013,2013,6.8
12958,4,3/13/2013,2013,9.9
12959,4,3/13/2013,2013,6.9
12960,1,3/13/2013,2013,7.9
12961,2,3/14/2013,2013,12.6
12962,2,3/14/2013,2013,1.8
12963,4,3/14/2013,2013,7.8
12964,2,3/15/2013,2013,12.2
12965,1,3/15/2013,2013,3.6
12966,6,3/16/2013,2013,6.8
12967,2,3/16/2013,2013,7.4
12968,2,3/16/2013,2013,9
12969,1,3/17/2013,2013,10.8
12970,1,3/17/2013,2013,5
12971,1,3/17/2013,2013,8.2
12972,3,3/17/2013,2013,8.5
12973,2,3/18/2013,2013,3.7
12974,6,3/18/2013,2013,8.2
12975,1,3/19/2013,2013,25.5
12976,2,3/19/2013,2013,3.7
12977,4,3/19/2013,2013,7.3
12978,4,3/20/2013,2013,5.7
12979,3,3/20/2013,2013,8.3
12980,1,3/21/2013,2013,5.9
12981,1,3/21/2013,2013,45.5
12982,1,3/22/2013,2013,7.4
12983,1,3/22/2013,2013,9
12984,4,3/23/2013,2013,9.6
12985,4,3/23/2013,2013,6.7
12986,2,3/24/2013,2013,8.5
12987,2,3/24/2013,2013,13.5
12988,2,3/24/2013,2013,3.6
12989,1,3/25/2013,2013,9.5
12990,2,3/25/2013,2013,2.1
